Datetime,Predicted_MW
7/13/2024 23:00,23644.865
7/13/2024 23:30,23106.1
7/13/2024 23:59,22596.166
7/14/2024 0:30,22215.783
7/14/2024 1:00,22009.67
7/14/2024 1:30,21729.56
7/14/2024 2:00,21457.719
7/14/2024 2:30,21369.945
7/14/2024 3:00,21221.725
7/14/2024 3:30,21195.121
7/14/2024 4:00,21131.73
7/14/2024 4:30,20948.75
7/14/2024 5:00,21280.771
7/14/2024 5:30,21687.613
7/14/2024 6:00,22063.844
7/14/2024 6:30,21789.996
7/14/2024 7:00,21022.285
7/14/2024 7:30,20801.057
7/14/2024 8:00,20995.98
7/14/2024 8:30,21452.531
7/14/2024 9:00,21735.88
7/14/2024 9:30,21988.074
7/14/2024 10:00,22031.287
7/14/2024 10:30,22299.328
7/14/2024 11:00,22445.023
7/14/2024 11:30,22330.771
7/14/2024 12:00,22239.975
7/14/2024 12:30,22066
7/14/2024 13:00,22204.646
7/14/2024 13:30,22364.23
7/14/2024 14:00,22686.988
7/14/2024 14:30,22589.213
7/14/2024 15:00,22646.494
7/14/2024 15:30,22675.55
7/14/2024 16:00,22929.412
7/14/2024 16:30,23104.963
7/14/2024 17:00,23259.049
7/14/2024 17:30,23353.447
7/14/2024 18:00,24458.834
7/14/2024 18:30,26003.682
7/14/2024 19:00,26024.354
7/14/2024 19:30,25274.822
7/14/2024 20:00,25222.336
7/14/2024 20:30,25063.682
7/14/2024 21:00,24928.648
7/14/2024 21:30,24520.072
7/14/2024 22:00,23946.133
7/14/2024 22:30,23400.674
7/14/2024 23:00,23032.027
7/14/2024 23:30,22481.316
7/14/2024 23:59,22049.693
7/15/2024 0:30,21594.383
7/15/2024 1:00,21454.277
7/15/2024 1:30,21270.533
7/15/2024 2:00,21211.018
7/15/2024 2:30,20935.475
7/15/2024 3:00,20741.146
7/15/2024 3:30,20659.346
7/15/2024 4:00,20670.713
7/15/2024 4:30,20823.176
7/15/2024 5:00,21575.99
7/15/2024 5:30,22455.621
7/15/2024 6:00,23369.617
7/15/2024 6:30,23243.914
7/15/2024 7:00,22835.78
7/15/2024 7:30,23347.459
7/15/2024 8:00,24847.615
7/15/2024 8:30,26220.498
7/15/2024 9:00,27022.418
7/15/2024 9:30,27471.629
7/15/2024 10:00,27761.736
7/15/2024 10:30,28204.623
7/15/2024 11:00,28421.201
7/15/2024 11:30,28384.744
7/15/2024 12:00,28088.42
7/15/2024 12:30,27098.451
7/15/2024 13:00,27168.48
7/15/2024 13:30,28350.287
7/15/2024 14:00,29132.008
7/15/2024 14:30,28687.363
7/15/2024 15:00,28738.373
7/15/2024 15:30,28647.646
7/15/2024 16:00,28752.773
7/15/2024 16:30,28266.512
7/15/2024 17:00,28145.984
7/15/2024 17:30,27875.953
7/15/2024 18:00,28504.344
7/15/2024 18:30,28854.43
7/15/2024 19:00,28453.402
7/15/2024 19:30,28260.068
7/15/2024 20:00,28382.746
7/15/2024 20:30,27817.197
7/15/2024 21:00,27607.055
7/15/2024 21:30,27177.799
7/15/2024 22:00,26461.959
7/15/2024 22:30,25803.97
7/15/2024 23:00,25339.07
7/15/2024 23:30,24763.87
7/15/2024 23:59,24279.916
7/16/2024 0:30,23628.38
7/16/2024 1:00,23409.51
7/16/2024 1:30,23311.19
7/16/2024 2:00,23202.27
7/16/2024 2:30,23077.436
7/16/2024 3:00,22937.744
7/16/2024 3:30,22831.02
7/16/2024 4:00,22878.852
7/16/2024 4:30,23061.59
7/16/2024 5:00,23623.916
7/16/2024 5:30,24378.686
7/16/2024 6:00,25009.857
7/16/2024 6:30,24935.365
7/16/2024 7:00,24370.479
7/16/2024 7:30,24786.895
7/16/2024 8:00,25904.543
7/16/2024 8:30,27189.742
7/16/2024 9:00,28034.066
7/16/2024 9:30,28245.295
7/16/2024 10:00,28310.309
7/16/2024 10:30,28706.375
7/16/2024 11:00,28719.594
7/16/2024 11:30,28635.803
7/16/2024 12:00,28441.719
7/16/2024 12:30,27545.508
7/16/2024 13:00,27654.604
7/16/2024 13:30,28607.883
7/16/2024 14:00,29556.385
7/16/2024 14:30,29179.11
7/16/2024 15:00,29124.453
7/16/2024 15:30,29039.795
7/16/2024 16:00,29106.807
7/16/2024 16:30,28774.592
7/16/2024 17:00,28666.053
7/16/2024 17:30,28308.186
7/16/2024 18:00,28922.572
7/16/2024 18:30,29460.639
7/16/2024 19:00,29017.637
7/16/2024 19:30,28687.193
7/16/2024 20:00,28640.904
7/16/2024 20:30,28397.838
